SL.no,Date,Zone,Scope,Engineer,Project,BOQ,Subproduct-Description,Typology,Batch Qty,CL No,PI NO,Actual Qty,HO Qty,Actual Sqm,HO Sqm
4498,28/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,33,S1-CW-CL-836,PI/03053,0,1,0,10.78
4499,28/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,0,6,WO-SCW-ACL-059,PI/03142,1,0,5.74,0
4500,28/08/2025,White,ACP,Mr.SYED,MS9,Modular ACP,ACP Bracket,Typical,1072,WO-ACP-AL-26 ,PI/2198,416,416,12.65,12.65
4501,28/08/2025,YELLOW DAY ,ACP,Renjith,CVH,Horizontal ACP,Typical,0,108,1035-TWB-ACP-043,PI/03578,23,0,44.4124,0
4502,28/08/2025,YELLOW DAY ,ACP,Renjith,DIC Factory,Conventional ACP,Typical,0,504,CANOPY-ACL-001,PI/02864,0,0,0,0
4503,28/08/2025,YELLOW NIGHT ,ACP,Renjith,JLT,Modular ACP,Typical,0,80,JLT-VB30-ACL-009,PI/03474,0,0,0,0
4504,28/08/2025,YELLOW NIGHT ,ACP,Renjith,JLT,Modular ACP,BMU,0,80,JLT-VB30-ACL-014,PI/03474,0,0,0,0
4505,28/08/2025,YELLOW NIGHT ,ACP,Renjith,JLT,Modular ACP,Typical,0,80,JLT-VB30-ACL-011,PI/03474,0,0,0,0
4506,28/08/2025,YELLOW NIGHT ,ACP,Renjith,JLT,Modular ACP,Typical,0,80,JLT-VB30-ACL-010,PI/03474,0,0,0,0
4507,28/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Horizontal ACP,Typical,0,108,1035-TWB-ACP-043,PI/03578,14,0,27.0337,0
4508,28/08/2025,YELLOW NIGHT ,ACP,Renjith,JLT,Modular ACP,Typical,0,2,JLT-VB06-ACL-001,PI/02838,1,0,4.7857,0
4509,28/08/2025,YELLOW NIGHT ,ACP,Renjith,Sobha One,Modular ACP,Typical,0,72,TA-VB09-ACL-006,PI/01512,16,0,0,0
4510,28/08/2025,White,ACP,Mr.SYED,JLT,Horizontal ACP,Mock up,Typical,34,JLT-HOR-MOC-ACP-001A,PI/3174,18,18,4.54,4.54
4511,28/08/2025,White,ACP,Mr.SYED,JLT,Horizontal ACP,Mock up,Typical,2,JLT-ACP-AL-12,PI/3858,2,2,1.96,1.96
4512,28/08/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP Bracket,Typical,1200,ACL-1189 & ACL-1186,PI/3373,1000,1000,35.28,35.28
4513,28/08/2025,White,ACP,Mr.SYED,CG,Modular ACP,ACP Bracket,Typical,200,1032-EXT-REC-ACL-480,PI/3447,70,70,1.93,1.93
4514,28/08/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP Bracket,Typical,1188,ACL-1042 & ACL-1043,PI/3221,0,0,0,0
4515,29/08/2025,White,ACP,Mr.SYED,MS9,Conventional ACP,ACP Runner,Typical,54,WO-VB-66-ALR-001A,PI/3581,0,0,0,0
4516,29/08/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP Bracket,Typical,1200,ACL-1189 & ACL-1186,PI/3373,860,860,30.34,30.34
4517,29/08/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP GUTTER,Typical,252,ACL-1151 & ACL-1050,PI/3220,18,18,9,9
4518,29/08/2025,White,ACP,Mr.SYED,MS9,Modular ACP,ACP Bracket,Typical,1072,WO-ACP-AL-26 ,PI/2198,7,7,0.21,0.21
4519,29/08/2025,YELLOW DAY ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB12-ACL-010,PI/03210,1,0,5.6999,0
4520,29/08/2025,YELLOW DAY ,ACP,Renjith,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-012,PI/03474,8,0,29.9285,0
4521,29/08/2025,YELLOW DAY ,ACP,Renjith,Sobha One,Modular ACP,Typical,0,72,0,PI/01512,3,0,0,0
4522,29/08/2025,YELLOW NIGHT ,ACP,Renjith,JLT,MODULAR ACP,MOCKUP,0,8,JLT-VER-MOC-ACP-001,PI/03160,1,0,3.5767,0
4523,29/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB26-ACL-010,PI/03210,1,0,5.6999,0
4524,29/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB02-ACL-009,PI/03210,2,0,11.3997,0
4525,29/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB36-ACL-009,PI/03210,1,0,5.6999,0
4526,29/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB12-ACL-010,PI/03210,1,0,5.8493,0
4527,29/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,PODIUM ACP,Vertical ACP,0,21,CVH-PD-VB-ACL-002,PI/03541,1,0,2.8372,0
4528,29/08/2025,YELLOW NIGHT ,ACP,Renjith,MS9,Modular ACP,L Type,0,298,WO-VB58-ACL-014,PI/02748,1,0,3.4018,0
4529,29/08/2025,YELLOW NIGHT ,ACP,Renjith,MS9,Modular ACP,L Type,0,298,WO-VB04-ACL-012,PI/02748,11,0,37.2386,0
4530,29/08/2025,Blue-3,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB30-ACL-010,PI/03474,8,0,29.9285,0
4531,29/08/2025,Blue-4,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB28-ACL-009,PI/03474,8,0,29.9285,0
4532,29/08/2025,Blue-4,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-011,PI/03474,2,0,7.4821,0
4533,29/08/2025,Blue-4,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-012,PI/03474,0,0,0,0
4534,29/08/2025,Blue-4,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB28-ACL-010,PI/03474,8,0,29.9285,0
4535,29/08/2025,Blue-4,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB30-ACL-014,PI/03474,2,0,7.4821,0
4536,29/08/2025,Blue-1,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-013,PI/03474,2,0,7.4821,0
4537,29/08/2025,Blue-1,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-011,PI/03474,6,0,22.4464,0
4538,29/08/2025,Blue-1,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-014,PI/03474,1,0,3.7411,0
4539,29/08/2025,Blue-1,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB30-ACL-011,PI/03474,7,0,26.1874,0
4540,29/08/2025,Blue-2,ACP,MD Irshad,CVH,Modular ACP,C Type,0,186,"TB-VB04,08-ACL-008",PI/03303,4,0,15.481,0
4541,29/08/2025,Blue-2,ACP,MD Irshad,JLT,Modular ACP,Typical,0,135,JLT-VB31-ACL-006,PI/03313,1,0,4.5469,0
4542,29/08/2025,Blue-2,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB33-ACL-010,PI/03474,8,0,28.6137,0
4543,29/08/2025,Blue-2,ACP,MD Irshad,JLT,Modular ACP,BMU,0,80,JLT-VB28-ACL-013,PI/03474,2,0,7.1534,0
4544,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,33,S1-CW-CL-825,PI/03053,0,1,0,15.66
4545,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1(P2)-CW-CL-329,PI/02841,0,1,0,22.37
4546,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1(P2)-CW-CL-330,PI/02841,0,3,0,67.1
4547,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A12,Curtain Wall,Non-Typical,0,310,A12-CW01-FS-AL-001,PI/12235,29,46,130.15,206.45
4548,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,A12,Curtain Wall,Non-Typical,0,310,A12-CW02-FS-AL-001,PI/12235,10,0,44.88,0
4549,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-938,PI/03222,4,0,53.45,0
4550,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-920,PI/03222,1,0,12.35,0
4551,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-845,PI/03222,3,0,58.52,0
4552,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-909,PI/03222,0,0,0,0
4553,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-714,PI/02877,2,2,8.89,8.89
4554,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-715,PI/02877,6,6,26.66,26.66
4555,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-717,PI/02877,4,4,16.4,16.4
4556,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-734,PI/02877,4,4,36.98,36.98
4557,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-775,PI/02877,4,4,50.27,50.27
4558,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-742,PI/02877,3,3,29.01,29.01
4559,29/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-741,PI/02877,1,1,15.91,15.91
4560,29/08/2025,Green ,Doors,Rakesh,CVH,HD,SHUTTER,0,180,1035-Z3.1.A-HDO-AL-102,PI/2249,0,60,0,88.962
4561,29/08/2025,Green ,Doors,Rakesh,SRV,HD,SHUTTER,0,54,1038-LD-AL-009,PI/02800,13, ,6.547,0
4562,29/08/2025,Green ,Doors,Rakesh,SRV,HD,OUTER,0,54,1038-LD-AL-009,PI/02800,46,0,46.333,0
4563,29/08/2025,Green ,Doors,Rakesh,Sobha One,WINDOW WALL,KIT,0,54,S1-P3-CW-CL-04,PI/13419,44,44,8.663,8.663
4564,29/08/2025,Green ,Doors,Rakesh,Sobha One,WINDOW WALL,KIT,0,16,S1-CW-CL-91,PI/13211,16,16,3.15,3.15
4565,29/08/2025,Green ,Doors,Rakesh,Sobha One,WINDOW WALL,KIT,0,17,S1-CW-CL-114,PI/00907,9,0,1.772,0
4566,29/08/2025,Green ,Doors,Rakesh,Sobha One,WINDOW WALL,KIT,0,12,S1-CW-CL-132,PI/00200,5,0,0.984,0
4567,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4BV1M-INF-TYPK-AL-001,PI/02091,5,0,17.056,0
4568,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4AM-INF-TYPD-AL-001,PI/02091,9,0,34.453,0
4569,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4A-INF-TYPD-AL-001,PI/02091,14,0,53.594,0
4570,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4BV1-INF-TYPK-AL-001,PI/02091,3,0,10.234,0
4571,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Roof louver,Roof Louver,0,156,5AM-RL-AL-002 & 5AM-RL-AL-003,PI/03252,24,0,37.92,0
4572,29/08/2025,BROWN,NON-SYSTEM,Ramki,CG,Fence ,FENCE & Gate,0,6,ALF-009,PI/03741,4,7,3.199,5.598
4573,29/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-76,PI/03579,18,0,21.127,0
4574,29/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-80,PI/03579,19,0,22.301,0
4575,29/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-82,PI/03579,17,0,19.954,0
4576,29/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-84,PI/03579,17,0,19.954,0
4577,29/08/2025,BROWN,NON-SYSTEM,Ramki,JM,Perforated Sheet,Perforated Sheet,0,1,CL-019,PI/03517,0,1,0,1
4578,29/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,64,S1(P3)-GBL-CL-47,PI/02750,0,39,0,51.723
4579,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,201,4CM-INF-TYPM-AL-002,PI/02424,0,8,0,16.689
4580,29/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,201,5EV1-INF-TYPL-AL-002,PI/02424,0,8,0,26.373
4581,30/08/2025,Green ,Doors,Rakesh,Sobha One,Substation Louver,Substation Louver ,0,3,ACL-004,PI/03778,1,0,10.263,0
4582,30/08/2025,Green ,Doors,Rakesh,Sobha One,WINDOW WALL,kit,0,17,S1-CW-CL-436,PI/00889,20,20,3.938,3.938
4583,30/08/2025,Green ,Doors,Rakesh,Sobha One,LSD,KIT,0,1243,CL-07,PI/12737,20,20,11.52,11.52
4584,30/08/2025,Green ,Doors,Rakesh,SRV,HD,SHUTTER,0,54,1038-LD-AL-009,PI/02800,26,0,13.094,0
4585,30/08/2025,Green ,Doors,Rakesh,CMV,Curtain Wall,Typical,0,22,CL-77,PI/03190,2,2,1.851,1.851
4586,30/08/2025,Green ,Doors,Rakesh,SRV,HD,OUTER,0,54,1038-LD-AL-009,PI/02800,0,21,0,21.152
4587,30/08/2025,Green ,Doors,Rakesh,DIC Factory,LOUVER,LOUVER,0,5,COM-LOU-ACL-001,PI/03232,1,0,7.284,0
4588,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-744,PI/02877,2,0,9.08,0
4589,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-737,PI/02877,3,0,60.47,0
4590,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-788,PI/02877,1,1,12.73,12.73
4591,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-791,PI/02877,1,1,9.25,9.25
4592,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-771,PI/02877,4,4,3.73,3.73
4593,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-804,PI/02877,1,0,5.06,0
4594,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-736,PI/02877,1,0,20.16,0
4595,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-786,PI/02877,0,0,0,0
4596,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-790,PI/02877,1,0,22.67,0
4597,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-783,PI/02877,1,0,14.54,0
4598,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-802,PI/02877,1,0,9.25,0
4599,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,42,S1-CW-CL-803,PI/02877,1,0,22.67,0
4600,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,310,A12-CW01-FS-AL-001,PI/12235,40,30,179.52,134.64
4601,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,310,A12-CW02-FS-AL-001,PI/12235,0,0,0,0
4602,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,MS9,Curtain Wall,Non-Typical,0,6,WO-SCW-ACL-059,PI/03142,0,1,0,5.74
4603,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-920,PI/03222,0,1,0,12.35
4604,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-906,PI/03222,0,1,0,7.9
4605,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-923,PI/03222,0,1,0,12.96
4606,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-927,PI/03222,0,1,0,30.48
4607,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,Sobha One,Curtain Wall,Non-Typical,0,40,S1-CW-CL-938,PI/03222,0,4,0,53.45
4608,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,CVH,Curtain Wall,Non-Typical,0,30,TB-PWC05-AL-025,PI/02330,10,0,16.52,0
4609,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,CVH,Curtain Wall,Non-Typical,0,30,TB-PW11C-AL-002,PI/02330,10,0,16.52,0
4610,30/08/2025,Navy Blue & (Orange),WW/SCW,Thangavel,JLT,Curtain Wall,Non-Typical,0,13,JLT-WW-09-AL-07,PI/03179,1,0,25.68,0
4611,30/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4CM-INF-TYPL-AL-001,PI/02091,1,0,5.372,0
4612,30/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4BV1-INF-TYPK-AL-001,PI/02091,5,0,17.056,0
4613,30/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,5AM-INF-TYPFA2-AL-001,PI/02091,1,0,3.63,0
4614,30/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Fin,Intermediate Fin,0,107,4AM-INF-TYPD-AL-001,PI/02091,1,0,3.828,0
4615,30/08/2025,BROWN,NON-SYSTEM,Ramki,SRV,Roof louver,Roof Louver,0,151,6A-RL-AL-002,PI/03239,35,0,53.189,0
4616,30/08/2025,BROWN,NON-SYSTEM,Ramki,A11,Balustrade,F Channel,0,632,A11-GB-AL-001/A11-GB-AL-002,PI/02134,86,0,68.081,0
4617,30/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,Top Rail ,0,136,S1-GBL-CL-24,PI/03685,72,0,22.075,0
4618,30/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,Top Rail ,0,136,S1-GBL-CL-25,PI/03685,64,0,19.622,0
4619,30/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-76,PI/03579,0,18,0,21.127
4620,30/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-80,PI/03579,0,19,0,22.301
4621,30/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-82,PI/03579,0,17,0,19.954
4622,30/08/2025,BROWN,NON-SYSTEM,Ramki,Sobha One,Balustrade,F-Channel,0,80,S1(P3)-GBL-CL-84,PI/03579,0,17,0,19.954
4623,30/08/2025,White,ACP,Mr.SYED,MS9,Conventional ACP,ACP Runner,Typical,54,WO-VB-66-ALR-001A,PI/3581,52,52,6.65,6.65
4624,30/08/2025,White,ACP,Mr.SYED,MS9,Modular ACP,ACP Bracket,Typical,1072,WO-ACP-AL-26 ,PI/2198,0,0,0,0
4625,30/08/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP Bracket,Typical,1188,ACL-1042 & ACL-1043,PI/3221,1980,1980,65.1,65.1
4626,30/08/2025,White,NON-SYSTEM,Mr.VINOTH,SOBHA FURNITURE  IF,Balustrade,Flashing,Typical,8,CL-10-R1,PI/03519,8,8,1.24,1.24
4627,31/08/2025,White,ACP,Mr.SYED,MS9,Conventional ACP,ACP Runner,Typical,54,WO-VB-66-ALR-001A,PI/3581,2,2,0.26,0.26
4628,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CG,Conventional ACP,ACP CLADDING,0,4,TC-VB78-ACL-009,PI/03624,2,0,4.0855,0
4629,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CG,Conventional ACP,ACP CLADDING,0,4,1032-POD-ACP-AL-118,PI/03682,2,0,2.6342,0
4630,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CG,Conventional ACP,ACP CLADDING,0,4,TA-V-B15-CV-ACP-006,PI/03682,1,0,1.3171,0
4631,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CG,Conventional ACP,ACP CLADDING,0,4,TA-V-B18-CV-ACP-006,PI/03682,1,0,1.3171,0
4632,30/08/2025,YELLOW NIGHT ,ACP,Renjith,Sobha One,Modular ACP,Typical,0,72,TA-VB09-ACL-006,PI/01512,4,0,0,0
4633,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CG,HORIZONTAL,ACP CLADDING,0,24,"CG-HB-127,128-ACL-001",PI/03889,17,0,25.6991,0
4634,30/08/2025,YELLOW NIGHT ,ACP,Renjith,MS9,Modular ACP,C Type,0,298,WO-VB58-ACL-014,PI/02748,10,0,34.018,0
4635,30/08/2025,YELLOW NIGHT ,ACP,Renjith,Sobha One,Modular ACP,Typical,0,3,TE-VB113-ACL-002,PI/03739,1,0,4.3884,0
4636,30/08/2025,YELLOW NIGHT ,ACP,Renjith,Sobha One,Modular ACP,Typical,0,3,TE-VB113-ACL-001,PI/03739,1,0,4.4224,0
4637,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB26-ACL-010,PI/03210,1,0,5.6999,0
4638,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,Modular ACP,U Type,0,48,TB-VB36-ACL-009,PI/03210,1,0,5.6999,0
4639,30/08/2025,YELLOW NIGHT ,ACP,Renjith,CVH,PODIUM ACP,Vertical ACP,0,21,CVH-PD-VB-ACL-002,PI/03541,4,0,11.3488,0
4640,31/08/2025,YELLOW DAY ,ACP,Renjith,CVH,PODIUM ACP,Vertical ACP,0,21,CVH-PD-VB-ACL-002,PI/03541,1,0,2.8372,0
4641,31/08/2025,YELLOW DAY ,ACP,Renjith,CG,HORIZONTAL,ACP CLADDING,0,24,"CG-HB-127,128-ACL-001",PI/03889,5,0,7.5586,0
4642,30/08/2025,Blue Antartic 1,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT 80 BATCH PACKING ,PI/03474,0,0,0,0
4643,30/08/2025,Blue-1,ACP,MD Irshad,JLT,Modular ACP,Typical,0,80,JLT-VB31-ACL-014,PI/03474,1,0,3.7411,0
4644,30/08/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Vertical ACP,0,29,TA-VB54-ACL-009,PI/03609,1,0,3.6191,0
4645,30/08/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Typical,0,29,TA-VB20-ACL-011,PI/03609,1,0,1.926,0
4646,30/08/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Typical,0,29,TA-VB17-ACL-007,PI/03609,1,0,1.6666,0
4647,30/08/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Typical,0,29,TA-VB58-ACL-008,PI/03609,1,0,3.4265,0
4648,30/08/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Typical,0,29,TA-VB57-ACL-008,PI/03609,1,0,2.8262,0
4649,30/08/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Double Panel,0,29,TA-VB51-ACL-009,PI/03609,2,0,5.8646,0
4650,30/08/2025,Blue-2,ACP,MD Irshad,MS9,Modular ACP,Typical,0,298,WO-VB68-ACL-010,PI/02748,3,0,11.4986,0
4651,30/08/2025,Blue-2,ACP,MD Irshad,MS9,Modular ACP,Typical,0,298,WO-VB42-ACL-017,PI/02748,4,0,10.4662,0
4652,01/09/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP Bracket,Typical,1200,ACL-1189 & ACL-1186,PI/3373,300,300,10.58,10.58
4653,01/09/2025,White,ACP,Mr.SYED,Sobha One,Modular ACP,ACP Bracket,Typical,486,ACL-1153 & ACL-1050,PI/3328,108,108,3.55,3.55
4654,01/09/2025,White,ACP,Mr.SYED,CG,Modular ACP,ACP Runner,Typical,72,"CG-HB-127,128-ACL-001A",PI/3886,24,24,0.68,0.68
4655,01/09/2025,White,NON-SYSTEM,Mr.VINOTH,MS9,Fin,Brackets,Typical,1405,CL-37,PI/3438,552,552,26.83,26.83
4656,01/09/2025,White,NON-SYSTEM,Mr.VINOTH,CVH,Balustrade,Top Rail,Typical,778,CVH-BAL-AL-001,PI/3601,200,200,63,63
4657,01/09/2025,Blue-3,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB52-ACL-009,PI/03609,2,0,5.6525,0
4658,01/09/2025,Blue-3,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB24-ACL-007,PI/03609,2,0,5.6525,0
4659,01/09/2025,Blue-3,ACP,MD Irshad,CVH,Modular ACP,L Type,Non Typical,29,TA-VB22-ACL-007,PI/03609,1,0,2.8209,0
4660,01/09/2025,Blue-3,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB50-ACL-006,PI/03609,2,0,4.4377,0
4661,01/09/2025,Blue-3,ACP,MD Irshad,Crest,Conventional ACP,Replacement ACP,Non Typical,9,TB-VB-24-020,PI/02496,3,0,8.4015,0
4662,01/09/2025,Blue-3,ACP,MD Irshad,JLT,Modular ACP,Typical,Typical,80,JLT-VB30-ACL-009,PI/03474,1,0,3.7411,0
4663,01/09/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB18-ACL-011,PI/03609,2,0,5.2156,0
4664,01/09/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB56-ACL-008,PI/03609,2,0,5.6525,0
4665,01/09/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB23-ACL-007,PI/03609,2,0,5.6525,0
4666,01/09/2025,Blue-1,ACP,MD Irshad,CVH,Modular ACP,Double Panel,Non Typical,29,TA-VB55-ACL-008,PI/03609,2,0,6.2458,0
